Gyroscope_x,Gyroscope_y,Gyroscope_z,Gyroscope_t,Gravity_x,Gravity_y,Gravity_z,Gravity_t,Magnetic_Field_x,Magnetic_Field_y,Magnetic_Field_z,Magnetic_Field_t
2.4876862, -1.2684784, -0.06976318, 11.660337, 2.917334, -7.0920525, -6.1124744, 14.238706, 6.2164307, -7.043457, 32.554626, 11.660337, 
0.17822266, -0.7012329, -0.12635803, 11.861753, 2.8899364, -8.2987585, -4.353076, 14.434018, 9.588623, -0.5722046, 25.3479, 11.861753, 
-3.7085419, 1.320343, 0.69374084, 12.0631695, 1.7979082, -9.562113, -1.2263393, 14.629331, 4.4891357, -20.533752, 28.173828, 12.0631695, 
0.009002686, 0.732254, 0.2733612, 12.2645855, 2.3643208, -9.408659, 1.4344046, 14.820737, -6.0165405, -30.337524, 30.436707, 12.2645855, 
1.6699982, -0.24632263, 0.29216003, 12.4660015, 1.6505107, -9.3349285, -2.5110362, 15.012143, -4.5562744, -23.6557, 33.79669, 12.4660015, 
2.2906494, -1.297821, -0.1938324, 12.667418, 2.6658661, -7.0094867, -6.31907, 15.207456, 4.9224854, -7.331848, 34.84955, 12.667418, 
-1.2507629, -0.288208, 0.22210693, 12.868834, 2.5916014, -8.463534, -4.2216797, 15.402768, 9.735107, -5.5358887, 32.06482, 12.868834, 
-3.7021484, 1.435852, 0.49638367, 13.07025, 1.9716244, -9.60515, -0.15545972, 15.660581, 1.8005371, -33.06122, 26.960754, 13.07025, 
1.0267487, 0.17567444, 0.095214844, 13.271666, 2.260405, -9.496916, 0.9324941, 15.851987, -1.0498047, -32.725525, 30.06134, 13.271666, 
1.9813843, -1.1400757, 0.11355591, 13.473081, 1.14941, -8.425033, -4.885495, 16.047298, -1.020813, -24.377441, 30.323792, 13.473081, 
1.741684, -1.2754211, -0.36428833, 13.674497, 3.345884, -7.075424, -5.908792, 16.24261, 7.723999, -8.329773, 28.591919, 13.674497, 
-2.3574066, 0.009292603, 0.456604, 13.875913, 2.513954, -8.421721, -4.3502917, 16.434017, 9.065247, -12.573242, 28.482056, 13.875913, 
-2.6784515, 1.6153564, 0.38536072, 14.077329, 1.9292557, -9.562628, -1.0022539, 16.62933, 1.8173218, -31.05011, 26.731873, 14.077329, 
1.21315, -0.26731873, 0.22125244, 14.278745, 2.1284935, -9.561281, 0.47096318, 16.824642, -2.5115967, -26.701355, 29.811096, 14.278745, 
2.352356, -1.833435, 0.10749817, 14.480161, 1.6419693, -8.216385, -5.0956206, 17.016048, 0.18310547, -16.093445, 33.857727, 14.480161, 
1.3318634, -0.890213, -0.30706787, 14.681577, 3.6938655, -6.8531175, -5.9632645, 17.21136, 9.597778, -2.0233154, 26.445007, 14.681577, 
-3.1201935, 0.50579834, 0.55996704, 14.882993, 2.6738756, -8.328018, -4.434511, 17.406673, 10.070801, -15.589905, 31.413269, 14.882993, 
-1.3645782, 1.6859894, 0.3677063, 15.084409, 2.076351, -9.490265, -1.3394127, 17.59808, 1.6174316, -34.265137, 26.681519, 15.084409, 
1.5069885, -1.0560455, 0.021453857, 15.285825, 2.2963133, -9.530684, -0.25177276, 17.793392, -1.2756348, -27.270508, 30.355835, 15.285825, 
2.1011963, -1.571991, -0.114852905, 15.487241, 1.8489819, -8.076138, -5.2466803, 18.051205, 6.3842773, -11.567688, 30.110168, 15.487241, 
0.59072876, -0.50123596, -0.16304016, 15.688657, 2.7102566, -7.9160614, -5.114769, 18.246517, 10.131836, -4.450989, 24.787903, 15.688657, 
-3.6295013, 0.59732056, 0.8221283, 15.890073, 1.89763, -8.552786, -4.406728, 18.437923, 7.676697, -20.547485, 27.63977, 15.890073, 
-0.3000183, 1.6273499, 0.11038208, 16.091488, 0.99116844, -9.237266, -3.1402078, 18.633236, -2.1621704, -32.514954, 27.342224, 16.091488, 
1.2971344, -1.114151, -0.027694702, 16.292904, 0.9638193, -9.209173, -3.2299495, 18.828548, 0.17547607, -26.58081, 30.639648, 16.292904, 
2.0016785, -1.3409882, -0.057495117, 16.49432, 0.23872566, -8.618038, -4.67363, 19.019955, 5.7296753, -11.585999, 30.12085, 16.49432, 
0.11605835, -0.51768494, -0.043060303, 16.695736, -0.33234525, -9.496367, -2.4246516, 19.215267, 11.962891, -4.748535, 26.036072, 16.695736, 
-3.7937164, 1.4001923, 0.60269165, 16.897152, -0.71165526, -9.75257, 0.7424996, 19.406673, 9.342957, -25.701904, 28.536987, 16.897152, 
0.29447937, 0.67077637, 0.31581116, 17.098568, -0.7768464, -9.613299, 1.77521, 19.601986, -0.48675537, -32.850647, 28.318787, 17.098568, 
1.4734955, -0.66996765, -0.09979248, 17.299984, -0.6451942, -9.503766, 2.3307812, 19.797298, 3.8909912, -26.295471, 32.16858, 17.299984, 
1.7353668, -1.475296, -0.13609314, 17.5014, -0.07695368, -9.764142, -0.9088486, 20.05511, 13.687134, -12.90741, 30.334473, 17.5014, 
-0.36787415, -0.53219604, -0.21392822, 17.702816, 0.19226043, -8.1059885, -5.5160108, 20.250423, 21.298218, -10.395813, 24.734497, 17.702816, 
-2.7174835, 0.3113556, 0.458786, 17.904232, 0.56887287, -8.840915, -4.2053523, 20.44183, 17.866516, -28.163147, 26.429749, 17.904232, 
0.6175842, 0.67160034, 0.15298462, 18.105648, 0.5717253, -9.639305, -1.7109376, 20.637142, 13.589478, -32.514954, 25.061035, 18.105648, 
0.4562683, -1.1004181, -0.19715881, 18.307064, 0.7761824, -9.714165, 1.0967857, 20.828548, 17.601013, -27.374268, 24.501038, 18.307064, 
0.93515015, -2.486847, -0.43452454, 18.50848, 0.8214514, -9.765082, 0.3725133, 21.02386, 27.297974, -19.880676, 17.601013, 18.50848, 
-0.2589264, -1.9036255, -0.71543884, 18.709896, 1.3596834, -7.417163, -6.269557, 21.219173, 31.018066, -15.087891, 3.2333374, 18.709896, 
-0.40322876, -2.5737915, -0.30220032, 18.911312, 2.845873, -7.1932864, -6.027273, 21.414486, 27.833557, -9.222412, -13.388062, 18.911312, 
1.8714294, -1.862854, -0.52182007, 19.112728, 1.1183302, -8.808146, -4.163687, 21.605892, 17.30957, -13.61084, -27.552795, 19.112728, 
1.0527344, -1.2883759, 0.25437927, 19.314144, 0.90757954, -9.733011, 0.78432804, 21.863705, 6.552124, -25.141907, -31.298828, 19.314144, 
0.35931396, -0.42866516, 0.13800049, 19.51556, 0.6330262, -9.609225, -1.852687, 22.062923, 6.021118, -26.023865, -30.18341, 19.51556, 
0.21990967, -0.46141052, -0.06413269, 19.716976, 1.8449465, -7.4956317, -6.048311, 22.250423, 1.1886597, -29.833984, -31.298828, 19.716976, 
-2.1914368, 0.39137268, 0.02798462, 19.918392, 2.0365183, -8.286966, -4.832098, 22.445736, 2.2369385, -17.81311, -33.862305, 19.918392, 
-2.009262, 2.079071, 0.71061707, 20.119808, 1.2704481, -9.6058035, -1.5115848, 22.641048, 16.548157, -0.6210327, -26.358032, 20.119808, 
1.1061859, 0.1436615, 0.3322296, 20.321224, 1.5280309, -9.551329, 1.6148138, 22.832455, 22.471619, -4.5303345, -22.340393, 20.321224, 
1.5369873, -0.0115356445, -0.30218506, 20.52264, 1.4121276, -9.687064, -0.5805859, 23.027767, 18.449402, -10.520935, -26.249695, 20.52264, 
1.3669891, 0.37434387, -0.09603882, 20.724056, 2.0673056, -7.9029193, -5.42591, 23.219173, 20.036316, -17.744446, -23.075867, 20.724056, 
-2.3354034, 1.0687561, 0.3199768, 20.925472, 2.4250994, -8.608569, -4.0226626, 23.414486, 24.482727, -9.55658, -23.316956, 20.925472, 
-3.2251282, 2.2953644, 0.4950714, 21.126888, 1.6466329, -9.583276, -1.2727197, 23.60981, 33.70819, -7.6202393, 4.7821045, 21.126888, 
1.0047607, 0.10241699, 0.42668152, 21.328304, 1.7870708, -9.523981, 1.5068387, 23.801216, 31.352234, -10.395813, 11.378479, 21.328304, 
2.2461548, -1.4724579, 0.26789856, 21.52972, 1.8763512, -9.621034, -0.29224816, 23.996529, 28.573608, -11.520386, 2.0568848, 21.52972, 
1.6582794, -0.73561096, -0.027420044, 21.731136, 2.894412, -7.7155676, -5.3162756, 24.254341, 27.890015, -12.908936, -5.4000854, 21.731136, 
-2.4085236, 1.0204468, 0.4229126, 21.932552, 3.0546837, -8.814142, -3.0249298, 24.449654, 29.676819, -12.4053955, -5.5618286, 21.932552, 
-2.0431824, 1.6323853, 0.12475586, 22.133968, 2.4015098, -9.505733, -0.21020776, 24.64106, 30.699158, -14.065552, 6.916809, 22.133968, 
0.8179779, 0.097839355, 0.44921875, 22.335384, 2.665598, -9.144187, 2.3342726, 24.836372, 28.952026, -12.12616, 12.522888, 22.335384, 
2.4823914, -1.1781006, -0.025466919, 22.5368, 2.1345649, -9.472346, -1.3742917, 25.031685, 30.85022, -10.227966, 3.0700684, 22.5368, 
1.3039551, -0.7128906, -0.10496521, 22.738216, 3.4139614, -7.629399, -5.1290865, 25.226997, 29.896545, -10.61554, -4.1885376, 22.738216, 
-2.917633, 1.0094452, 0.34449768, 22.939632, 3.3201141, -8.614996, -3.3059144, 25.418404, 30.682373, -10.395813, -0.34942627, 22.939632, 
-1.5437317, 1.8963776, 0.25764465, 23.141048, 2.894626, -9.36328, -0.3471581, 25.613716, 29.437256, -16.809082, 10.450745, 23.141048, 
1.078659, -0.49272156, 0.40774536, 23.342464, 3.2431533, -8.976741, 2.2517684, 25.805122, 28.36914, -14.585876, 14.0182495, 23.342464, 
2.1396027, -1.0718994, 0.067214966, 23.543892, 2.854817, -9.2649975, -1.4765588, 26.000435, 31.185913, -12.573242, 6.980896, 23.543892, 
0.7352905, -0.4381714, -0.2613678, 23.745308, 4.0437202, -8.130983, -3.7021365, 26.258247, 33.88672, -10.124207, 0.9536743, 23.745308, 
